Oscars Year,Film Year,Actors,Gender,Played Off,Award,Speech
2010,2009,1,0,0,Actor in a Leading Role,"Oh! Thank you, Academy members! Mom and Dad, yeah, look! Whoo! Thank you, Mom and Dad, for turning me on to such a groovy profession. Oh, my dad, my mom, they loved show biz so much. I remember my mom getting all of us kids to entertain at her parties, you know, my dad sitting me on his bed and teaching me all of the basics of acting for a role in ""Sea Hunt."" They loved show biz so much and I feel an extension of them, you know, this is honoring them as much as it is me. I wanna thank Scott Cooper, our wonderful director, for his knowledge of film and country music, and for his ability to instill self-confidence in his actors. I thank you for that, Scott. Where are you? Raise your hand, man. Yeah! Scotty! Thank you for that, Scott man! And thank you for assembling such a wonderful cast. Maggie Gyllenhaal, Colin, wherever he is backstage, and Bobby Duvall. So wonderful, you guys brought your heart and soul. I want to thank Barry Markowitz, our wonderful DP, did such a brilliant job. Judy Cairo, our producer, and Fox Searchlight, our wonderful distributor. Thank you, guys, for keeping us all together and for making it all happen. T Bone Burnett and Stephen Bruton, for bringing all of that great music and those wonderful musicians to the party, man. And my wonderful team that's kept me together: Jean Sievers, David Schiff, Rick Kurtzman at CAA, Bob Wallerstein, Loyd Catlett, Tarra Day and Roger Love, man. Thank you, guys. And I especially want to thank my gorgeous wife, Sue. We've been married thirty-three years. We have a beautiful family, three girls: Isabelle, Jessie and Hayley. Thank you, guys. I wouldn't be up here without you. Thank you so much."
2010,2009,1,0,0,Actor in a Supporting Role,"Oscar and Penélope, that's an über bingo. I always wanted to discover some new continent and I thought I had to go this way. And then I was introduced to Quentin Tarantino who was putting together an expedition that was equipped by Harvey Weinstein and Lawrence Bender and David Linde. And he put this script in front of me and he said, ""This is where we're going, but we're going the other way."" So Brad Pitt helped me on board and Diane Kruger was there. And Mélanie Laurent and Denis Menochet and Bob Richardson, Sally Menke, and Adam Schweitzer and Lisa Kasteler. And everybody helped me find a place. Universal and The Weinstein Company and ICM. And Quentin, with his unorthodox methods of navigation, this fearless explorer took this ship across and brought it in with flying colors. And that's why I'm here. And this is your welcoming embrace, and there's no way I can ever thank you enough. But I can start right now: Thank you."
2010,2009,1,1,0,Actress in a Leading Role,"Did I really earn this or did I just wear you all down? I would like to thank the Academy for allowing me in the last month to have the most incredible ride, with rooms full of artists that I see tonight and that I've worked with before and I hope to work with in the future, who inspire me and blaze trails for us. Four of them, that I've fallen deeply in love with, I share this night with and I share this award with. Gabby, I love you so much. You are exquisite. You are beyond words to me. Carey, your grace and your elegance and your beauty and your talent makes me sick. Helen, I feel like we are family, through(?) family, and I don't have the words to express just what I think of you. And Meryl, you know what I think of you, and you are such a good kisser. I have so many people to thank for my good fortune in this lifetime, and this is a once-in-a-lifetime experience, I know. To the family that allowed me to play them, the Tuohy family. I know they're in here and you'll probably hear her in a minute... Maybe not. Thank you for giving me the opportunity to the family that made this film, that gave me the opportunity to do something different: John Lee Hancock, Gil Netter, Alcon, Warner Bros., the actors. Everyone who's shown me kindness when it wasn't fashionable, I thank you. To everyone who was mean to me when it wasn't... like George Clooney threw me in a pool years ago. I'm still holding a grudge. But there's so many people to thank; not enough time. So I would like to thank what this film was about for me, which are the moms that take care of the babies and the children no matter where they come from. Those moms and parents never get thanked. I, in particular, failed to thank one. So... if I can take this moment to thank Helga B. for not letting me ride in cars with boys till I was eighteen, 'cause she was right; I would've done what she said I was gonna do. For making me practice every day when I got home, piano, ballet, whatever it is I wanted to be. She said to be an artist you had to practice every day. And for reminding her daughters that there's no race, no religion, no class system, no color, nothing, no sexual orientation, that makes us better than anyone else. We are all deserving of love. So, to that trailblazer who allowed me to have that, and this [referring to the Oscar], and this, I thank you so much for this opportunity that I share with these extraordinary women, and my lover Meryl Streep. Thank you."
2010,2009,1,1,0,Actress in a Supporting Role,"First, I would like to thank the Academy for showing that it can be about the performance and not the politics. I want to thank Miss Hattie McDaniel for enduring all that she had to so that I would not have to. Tyler Perry and Oprah Winfrey, because you touched it the whole world saw it. Ricky Anderson, our attorney of Anderson & Smith, thank you for your hard work. My entire BET family, my ""Precious"" family, thank you so much. To my amazing husband Sidney, thank you for showing me that sometimes you have to forgo doing what's popular in order to do what's right. And baby, you were so right. God bless us all."
2010,2009,0,0,0,Animated Feature Film,"Boy, never did I dream that making a flip book out of my third grade math book would lead to this. Boy. It's incredible being here. It's just me right now, but please picture this whole stage full of the most amazing cast and crew you've ever experienced. Jonas Rivera, producer, Bob Peterson, co-director, you guys should all be up here with me. Thanks so much to Disney and to Pixar Animation Studios for believing in this oddball film. It was an incredible, incredible adventure making this movie, but the heart of it came from home. And to our families, in my case my wonderful parents, they were so supportive, my kids, Nicholas and Ellie, and my amazing wife Amanda, you guys are the greatest adventure. Thank you."
2010,2009,0,0,0,Art Direction,"Jim Cameron, this Oscar sees you. Clearly. Your vision is so deep. You know, thirteen years ago, doctors told me I wasn't going to survive, and I thought that this dream of standing here would never come true. And here we are. I owe this to my amazing wife Lizz, my two kids, Reece* and Remi*, for supporting me. Brooke Breton, Rick Carter and the hundreds of people that it took to make this film, thank you. Special thanks to Jon Landau. Jim, every day we went to work we knew we were working with a genius. We really were. We all felt that. Thank you so much."
2010,2009,0,0,0,Cinematography,"First of all, I want to thank the Academy for this unbelievable honor. It's a pleasure to be here. I want to thank the visionary Jim Cameron for an amazing vision of the film. My parents, Lorenzo and Romilda, who came to this country with four suitcases and a dream. I want to thank everybody in Chicago, Omaha. I want to thank my crew, everybody in New Zealand. Un gran saluto all'Italia. Viva l'Italia! Un grande abbraccio! I think I forgot a bunch of other people. Jon Landau, Colin Wilson, my crew, everybody. Thank you very much. Incredible honor. Thank you."
2010,2009,0,1,0,Costume Design,"Wow. Well, I already have two of these, so I'm feeling greedy. I'd like to dedicate this one to the costume designers that don't do movies about dead monarchs or glittery musicals. The designers that do the contemporary films and the low-budget ones that actually don't get as recognized, and they should do and they work as hard. So this is for you, but I'm gonna take it home tonight. Thank you."
2010,2009,0,1,0,Directing,"This really is, um, there's no other way to describe it, it's the moment of a lifetime. First of all, this is so extraordinary to be in the company of such powerful, my fellow nominees, such powerful filmmakers who have inspired me and I have admired for, some of whom, for decades. And thank you to every member of the Academy. This is, again, the moment of a lifetime. I would not be standing here if it wasn't for Mark Boal, who risked his life for the words on the page and wrote such a courageous screenplay. That I was fortunate enough to have an extraordinary cast bring that screenplay to life in Jeremy Renner, Anthony Mackie and Brian Geraghty. And, I think the secret to directing is collaborating and I had truly an extraordinary group of collaborators in my crew: Barry Ackroyd, and Kalle Júlíusson, and Bob Murawski, Chris Innis, Ray Beckett, Richard Stutsman. And if I could just also thank my producing partners in Greg Shapiro and Nick Chartier, and my wonderful agent Brian Siberell. And the people of Jordan, who were such a... so hospitable to us when we were shooting. And I'd just like to dedicate this to the women and men in the military who risk their lives on a daily basis in Iraq and Afghanistan and around the world. And may they come home safe. Thank you."
2010,2009,0,0,1,Documentary (Feature),"Hello, everybody. I just want to say it was an honor to work on this film, and to try to make an entertaining film that also tries to enlighten everybody. I have to thank Jim Clark, who financed the film and was also kind of the guiding wisdom behind the film. Paula DuPré Pesmen, my producing partner. And my hero, Ric O'Barry, who is not only a hero to this species, but to all species. And the man who came up with the idea, Louie Psihoyos. Thank you..."
